Company Name,Year,Count Sustainability,Count AI
Amazon,2015,0,0
Amazon,2016,0,0
Amazon,2017,0,0
Amazon,2018,0,1
Amazon,2019,0,3
Amazon,2020,0,2
Amazon,2021,2,3
Amazon,2022,2,3
Amazon,2023,2,9
Amazon,2024,4,13
Alphabet,2015,0,0
Alphabet,2016,0,1
Alphabet,2017,0,1
Alphabet,2018,2,2
Alphabet,2019,6,2
Alphabet,2020,12,2
Alphabet,2021,21,1
Alphabet,2022,19,2
Alphabet,2023,15,3
Alphabet,2024,9,2
Microsoft,2015,0,0
Microsoft,2016,0,0
Microsoft,2017,0,3
Microsoft,2018,0,4
Microsoft,2019,1,3
Microsoft,2020,8,3
Microsoft,2021,8,3
Microsoft,2022,7,4
Microsoft,2023,9,4
Microsoft,2024,10,4
Nvidia,2015,0,0
Nvidia,2016,0,8
Nvidia,2017,0,3
Nvidia,2018,0,2
Nvidia,2019,0,1
Nvidia,2020,0,2
Nvidia,2021,0,2
Nvidia,2022,7,1
Nvidia,2023,5,2
Nvidia,2024,18,3
